"date","fuel_cpi"
2011-01-01,86.2
2011-02-01,86.5
2011-03-01,87.4
2011-04-01,88.2
2011-05-01,88.6
2011-06-01,89.1
2011-07-01,92.1
2011-08-01,92.7
2011-09-01,93.5
2011-10-01,94.6
2011-11-01,95.5
2011-12-01,95.9
2012-01-01,96.4
2012-02-01,96.8
2012-03-01,97.1
2012-04-01,98.1
2012-05-01,98.6
2012-06-01,99.3
2012-07-01,100.1
2012-08-01,101.1
2012-09-01,102
2012-10-01,103.1
2012-11-01,104.1
2012-12-01,104.8
2013-01-01,105.5
2013-02-01,106
2013-03-01,106.1
2013-04-01,106.5
2013-05-01,107.4
2013-06-01,108.3
2013-07-01,109.2
2013-08-01,109.7
2013-09-01,110.5
2013-10-01,110.9
2013-11-01,111.6
2013-12-01,111.9
2014-01-01,112.2
2014-02-01,112.4
2014-03-01,112.5
2014-04-01,112.5
2014-05-01,112.5
2014-06-01,113.2
2014-07-01,113.9
2014-08-01,114
2014-09-01,114.3
2014-10-01,114.7
2014-11-01,115.5
2014-12-01,115.7
2015-01-01,116.5
2015-02-01,117.7
2015-03-01,118.3
2015-04-01,118.7
2015-05-01,119.2
2015-06-01,119.8
2015-07-01,120.1
2015-08-01,120.6
2015-09-01,120.4
2015-10-01,120.8
2015-11-01,121.6
2015-12-01,122
2016-01-01,122.7
2016-02-01,123.1
2016-03-01,122.4
2016-04-01,122.3
2016-05-01,122.7
2016-06-01,123.3
2016-07-01,123.4
2016-08-01,123.6
2016-09-01,124.1
2016-10-01,124.3
2016-11-01,125
2016-12-01,126.6
2017-01-01,126.8
2017-02-01,127.9
2017-03-01,129.1
2017-04-01,129.8
2017-05-01,129.4
2017-06-01,128.8
2017-07-01,129.4
2017-08-01,129.8
2017-09-01,131
2017-10-01,132.2
2017-11-01,135.3
2017-12-01,136.6
2018-01-01,136.6
2018-02-01,136.7
2018-03-01,136.5
2018-04-01,136.5
2018-05-01,136.9
2018-06-01,138.1
2018-07-01,139.7
2018-08-01,140.9
2018-09-01,142.3
2018-10-01,143.5
2018-11-01,145.1
2018-12-01,142.7
2019-01-01,139.5
2019-02-01,138.4
2019-03-01,139.7
2019-04-01,140
2019-05-01,140.3
2019-06-01,141.2
2019-07-01,139.3
2019-08-01,138.5
2019-09-01,139.2
2019-10-01,140.6
2019-11-01,142.3
2019-12-01,143.7
2020-01-01,144.6
2020-02-01,147.2
2020-03-01,148.9
2020-04-01,144.1
2020-05-01,142.5
2020-06-01,141.9
2020-07-01,143
2020-08-01,142.9
2020-09-01,143.1
2020-10-01,143.6
2020-11-01,144.6
2020-12-01,147.9
2021-01-01,150.2
2021-02-01,152.4
2021-03-01,155.5
2021-04-01,155.6
2021-05-01,159.4
2021-06-01,159.8
2021-07-01,160.7
2021-08-01,161.4
2021-09-01,162.6
2021-10-01,164.2
2021-11-01,163.9
2021-12-01,164.1
2022-01-01,164.2
2022-02-01,165.7
2022-03-01,167.2
2022-04-01,172.2
2022-05-01,174.6
2022-06-01,176
2022-07-01,179.6
2022-08-01,178.8
2022-09-01,179.5
2022-10-01,180.5
2022-11-01,181.3
2022-12-01,182
2023-01-01,182
2023-02-01,182.1
2023-03-01,181.9
2023-04-01,181.7
2023-05-01,182.8
2023-06-01,182.9
2023-07-01,186.2
2023-08-01,186.5
2023-09-01,179.3
2023-10-01,179.8
2023-11-01,179.9
2023-12-01,180.2
2024-01-01,180.9
2024-02-01,180.7
2024-03-01,175.8
2024-04-01,174.4
2024-05-01,176.1
2024-06-01,176.3
2024-07-01,176
2024-08-01,176.7
2024-09-01,176.9
2024-10-01,176.8
2024-11-01,176.6
2024-12-01,177.8
