"Variable","Estimate","NW_SE","t_value","p_value","Sig"
"(Intercept)",-0.122311,0.202159,-0.605,0.5458,""
"dlnCPI_L1",0.165235,0.05747,2.8751,0.0044,"***"
"dlnCPI_L2",-0.078545,0.068774,-1.1421,0.2547,""
"dlnCPI_L3",-0.115922,0.067719,-1.7118,0.0884,"*"
"dlnOil_pos_L0",-0.004019,0.007256,-0.5539,0.5802,""
"dlnOil_pos_L1",0.005404,0.011362,0.4756,0.6349,""
"dlnOil_pos_L2",0.014305,0.008631,1.6575,0.0989,"*"
"dlnOil_pos_L3",0.005606,0.007256,0.7727,0.4406,""
"dlnOil_neg_L0",0.009865,0.006845,1.4411,0.151,""
"dlnOil_neg_L1",-0.007686,0.008405,-0.9145,0.3615,""
"dlnOil_neg_L2",-0.00655,0.008347,-0.7848,0.4334,""
"dlnOil_neg_L3",0.00497,0.006078,0.8177,0.4144,""
"dlnIIP",-0.007609,0.005241,-1.452,0.1479,""
"D_petrol",0.116301,0.113537,1.0243,0.3068,""
"D_diesel",-0.338526,0.09148,-3.7005,3e-04,"***"
"D_covid",-0.344559,0.518208,-0.6649,0.5068,""
"mo_Jan",0.69248,0.182643,3.7914,2e-04,"***"
"mo_Feb",0.018978,0.27323,0.0695,0.9447,""
"mo_Mar",0.520479,0.211289,2.4633,0.0145,"**"
"mo_Apr",0.852848,0.204877,4.1627,0,"***"
"mo_May",0.643469,0.187978,3.4231,7e-04,"***"
"mo_Jun",1.010739,0.174842,5.7809,0,"***"
"mo_Jul",1.847585,0.250336,7.3804,0,"***"
"mo_Aug",0.361204,0.203125,1.7782,0.0768,"*"
"mo_Sep",0.677078,0.190208,3.5597,5e-04,"***"
"mo_Oct",1.212693,0.193209,6.2766,0,"***"
"mo_Nov",0.457484,0.175311,2.6096,0.0097,"***"
