"Variable","ADF_stat","ADF_p","ADF_conclusion","PP_stat","PP_5pct_cv","PP_conclusion","KPSS_stat","KPSS_5pct_cv","KPSS_conclusion"
"ln(CPI)",-0.3198,0.9895,"Unit root",-0.5059,-3.4292,"Unit root",0.9406,0.146,"Not stationary"
"ln(Oil_INR)",-2.574,0.3342,"Unit root",-3.1232,-3.4292,"Unit root",0.291,0.146,"Not stationary"
"ln(Brent)",-2.6862,0.2869,"Unit root",-3.1044,-3.4292,"Unit root",0.3079,0.146,"Not stationary"
"ln(EXR)",-3.6863,0.0254,"Stationary",-2.8155,-3.4292,"Unit root",0.2462,0.146,"Not stationary"
"ln(IIP)",-3.2004,0.0883,"Unit root",-6.8668,-3.4292,"Stationary",0.5064,0.146,"Not stationary"
"dlnCPI",-9.0423,0.01,"Stationary",-12.4718,-3.4292,"Stationary",0.443,0.463,"Stationary"
"dlnOil",-6.1283,0.01,"Stationary",-10.9915,-3.4292,"Stationary",0.0848,0.463,"Stationary"
"dlnBrent",-5.9496,0.01,"Stationary",-10.6795,-3.4292,"Stationary",0.0942,0.463,"Stationary"
"dlnEXR",-5.2096,0.01,"Stationary",-11.5263,-3.4292,"Stationary",0.0668,0.463,"Stationary"
"dlnIIP",-8.2214,0.01,"Stationary",-27.8103,-3.4292,"Stationary",0.0372,0.463,"Stationary"
