"Specification","Variable","Estimate","SE","t_value","p_value","Sig","ECT_valid"
"NARDL-A (Oil INR)","Const",0.034863,0.027041,1.2893,0.1985,"","NO"
"NARDL-A (Oil INR)","ln_cpi_1",0.176013,0.062995,2.7941,0.0056,"***","NO"
"NARDL-A (Oil INR)","ln_cpi_2",-0.183431,0.063023,-2.9105,0.0039,"***","NO"
"NARDL-A (Oil INR)","ln_oil_p",0.003421,0.001849,1.8499,0.0656,"*","NO"
"NARDL-A (Oil INR)","ln_oil_n",0.017859,0.007886,2.2646,0.0244,"**","NO"
"NARDL-A (Oil INR)","ln_oil_n_1",-0.01516,0.008067,-1.8793,0.0614,"*","NO"
"NARDL-A (Oil INR)","ln_iip",-0.014137,0.006344,-2.2283,0.0268,"**","NO"
"NARDL-A (Oil INR)","ln_iip_1",0.013471,0.006269,2.1488,0.0327,"**","NO"
"NARDL-B (Brent | EXR + IIP)","Const",-0.020679,0.043762,-0.4725,0.637,"","NO"
"NARDL-B (Brent | EXR + IIP)","ln_cpi_1",0.115965,0.062223,1.8637,0.0636,"*","NO"
"NARDL-B (Brent | EXR + IIP)","ln_cpi_2",-0.126378,0.06249,-2.0224,0.0443,"**","NO"
"NARDL-B (Brent | EXR + IIP)","ln_brent_p",-0.010312,0.012239,-0.8426,0.4004,"","NO"
"NARDL-B (Brent | EXR + IIP)","ln_brent_p_1",0.014271,0.016815,0.8487,0.3969,"","NO"
"NARDL-B (Brent | EXR + IIP)","ln_brent_p_2",0.02405,0.016313,1.4743,0.1418,"","NO"
"NARDL-B (Brent | EXR + IIP)","ln_brent_p_3",0.002598,0.015996,0.1624,0.8711,"","NO"
"NARDL-B (Brent | EXR + IIP)","ln_brent_p_4",-0.028027,0.010604,-2.6431,0.0088,"***","NO"
"NARDL-B (Brent | EXR + IIP)","ln_brent_n",0.018521,0.007982,2.3205,0.0212,"**","NO"
"NARDL-B (Brent | EXR + IIP)","ln_brent_n_1",-0.016018,0.008289,-1.9325,0.0545,"*","NO"
"NARDL-B (Brent | EXR + IIP)","ln_exr",0.003745,0.010075,0.3717,0.7105,"","NO"
"NARDL-B (Brent | EXR + IIP)","ln_iip",-0.014391,0.006414,-2.2435,0.0258,"**","NO"
"NARDL-B (Brent | EXR + IIP)","ln_iip_1",0.00724,0.006974,1.0382,0.3003,"","NO"
"NARDL-B (Brent | EXR + IIP)","ln_iip_2",-0.009568,0.00705,-1.3572,0.1761,"","NO"
"NARDL-B (Brent | EXR + IIP)","ln_iip_3",-0.001717,0.006993,-0.2455,0.8063,"","NO"
"NARDL-B (Brent | EXR + IIP)","ln_iip_4",0.029906,0.006442,4.6421,0,"***","NO"
