"Variable","Estimate","NW_SE","t_value","p_value","Significance"
"(Intercept)",-0.213371,0.154491,-1.3811,0.1686,""
"dlnCPI_L1",0.172795,0.052363,3.2999,0.0011,"***"
"dlnOil",0.003819,0.004018,0.9507,0.3428,""
"dlnOil_L1",-0.000976,0.004609,-0.2119,0.8324,""
"dlnIIP",-0.003893,0.004591,-0.848,0.3973,""
"D_petrol",0.076696,0.102146,0.7508,0.4535,""
"D_diesel",-0.255365,0.075618,-3.3771,9e-04,"***"
"D_covid",0.141136,0.42467,0.3323,0.7399,""
"M1",0.717556,0.176342,4.0691,1e-04,"***"
"M2",0.144905,0.248463,0.5832,0.5603,""
"M3",0.587172,0.202241,2.9033,0.0041,"***"
"M4",1.008051,0.192682,5.2317,0,"***"
"M5",0.788836,0.179678,4.3903,0,"***"
"M6",1.061199,0.171716,6.1799,0,"***"
"M7",1.832242,0.244946,7.4802,0,"***"
"M8",0.362527,0.192238,1.8858,0.0606,"*"
"M9",0.583614,0.18442,3.1646,0.0018,"***"
"M10",1.123446,0.163131,6.8868,0,"***"
"M11",0.509329,0.159041,3.2025,0.0016,"***"
"---",NA,NA,NA,NA,""
"CPT (β₀+β₁)",0.002843,NA,NA,NA,""
"H0: CPT = 0 (F-test)",0.31,NA,NA,0.5782,""
"Adj R²",0.4363,NA,NA,NA,""
"N",247,NA,NA,NA,""
