"p","q","AIC","BIC","N","CPT_Plus","CPT_Minus","Gap","Asym_P_Value","BG_P_Value","BP_P_Value","RESET_P_Value","CUSUM_P_Value","Primary_Model","AIC_Rank"
1,0,434.69,504.64,244,-0.003588,0.008271,-0.011859,0.2166,0.0119,0.0444,0.093,0.0391,"No",4
1,1,437.21,514.15,244,9.1e-05,0.002038,-0.001947,0.9074,0.0331,0.0417,0.0424,0.0524,"No",10
1,2,437.74,521.67,244,0.012677,-0.002386,0.010291,0.4415,0.0372,0.0474,0.0152,0.0485,"No",11
1,3,440.58,531.51,244,0.019248,-0.000144,0.019104,0.2806,0.0169,0.0145,0.0129,0.0904,"No",15
2,0,433.41,506.85,244,-0.002505,0.007937,-0.010442,0.2881,0.0295,0.0461,0.2267,0.011,"No",2
2,1,436.4,516.83,244,0.000403,0.002809,-0.002406,0.8849,0.0557,0.0439,0.1549,0.0194,"No",7
2,2,437.18,524.61,244,0.012553,-0.00124,0.011313,0.4784,0.0657,0.048,0.0314,0.0119,"No",9
2,3,440.13,534.56,244,0.019064,0.000554,0.01851,0.3079,0.0359,0.0139,0.0266,0.0286,"No",14
3,0,431.93,508.87,244,-0.00261,0.006756,-0.009366,0.3488,0.0645,0.0394,0.3742,0.0275,"No",1
3,1,434.83,518.76,244,0.001363,0.001441,-7.8e-05,0.9962,0.149,0.0395,0.1955,0.0581,"No",5
3,2,435.92,526.85,244,0.012974,-0.001721,0.011253,0.4443,0.1525,0.0409,0.0557,0.057,"No",6
3,3,438.79,536.71,244,0.019258,0.00058,0.018678,0.293,0.0992,0.0125,0.0533,0.0628,"Yes",13
4,0,433.66,514.1,244,-0.00276,0.007169,-0.009929,0.3358,0.0751,0.058,0.3892,0.0206,"No",3
4,1,436.56,523.99,244,0.001328,0.001854,-0.000526,0.9747,0.1664,0.0568,0.204,0.0237,"No",8
4,2,437.75,532.17,244,0.012764,-0.00134,0.011424,0.4667,0.1576,0.055,0.0692,0.0271,"No",12
4,3,440.67,542.09,244,0.019087,0.00074,0.018346,0.3027,0.0717,0.0182,0.0653,0.0297,"No",16
